year_fraction,nino34_normalized
0.0,0.0
0.083333,0.081
0.166667,-0.31
0.25,-0.31
0.333333,-0.31
0.416667,-0.31
0.5,-0.67
0.583333,-1.21
0.666667,-0.89
0.75,-0.89
0.833333,-0.89
0.916667,-0.89
1,-0.67
1.083333,0.207
1.166667,0.041
1.25,0.041
1.333333,0.041
1.416667,0.041
1.5,-0
1.583333,-1
1.666667,-1.02
1.75,-1.02
1.833333,-1.02
1.916667,-1.02
2,-1.18
2.083333,-0.28
2.166667,-0.07
2.25,-0.07
2.333333,-0.07
2.416667,-0.07
2.5,0.233
2.583333,-0.34
2.666667,-0.69
2.75,-0.69
2.833333,-0.69
2.916667,-0.69
3,-1.08
3.083333,-0.96
3.166667,-0.56
3.25,-0.56
3.333333,-0.56
3.416667,-0.56
3.5,-0.17
3.583333,0.186
3.666667,-0.17
3.75,-0.17
3.833333,-0.17
3.916667,-0.17
4,-0.46
4.083333,-1.22
4.166667,-0.98
4.25,-0.98
4.333333,-0.98
4.416667,-0.98
4.5,-0.86
4.583333,0.117
4.666667,0.06
4.75,0.06
4.833333,0.06
4.916667,0.06
5,0.132
5.083333,-0.83
5.166667,-0.97
5.25,-0.97
5.333333,-0.97
5.416667,-0.97
5.5,-1.22
5.583333,-0.49
5.666667,-0.19
5.75,-0.19
5.833333,-0.19
5.916667,-0.19
6,0.175
6.083333,-0.15
6.166667,-0.53
6.25,-0.53
6.333333,-0.53
6.416667,-0.53
6.5,-0.93
6.583333,-1.09
6.666667,-0.71
6.75,-0.71
6.833333,-0.71
6.916667,-0.71
7,-0.37
7.083333,0.237
7.166667,-0.06
7.25,-0.06
7.333333,-0.06
7.416667,-0.06
7.5,-0.26
7.583333,-1.17
7.666667,-1.03
7.75,-1.03
7.833333,-1.03
7.916667,-1.03
8,-1.02
8.083333,-0.02
8.166667,0.035
8.25,0.035
8.333333,0.035
8.416667,0.035
8.5,0.215
8.583333,-0.64
8.666667,-0.87
8.75,-0.87
8.833333,-0.87
8.916667,-0.87
9,-1.2
9.083333,-0.69
9.166667,-0.33
9.25,-0.33
9.333333,-0.33
9.416667,-0.33
9.5,0.063
9.583333,0.021
9.666667,-0.38
9.75,-0.38
9.833333,-0.38
9.916667,-0.38
10,-0.75
10.08333,-1.18
10.16667,-0.84
10.25,-0.84
10.33333,-0.84
10.41667,-0.84
10.5,-0.58
10.58333,0.229
10.66667,0.019
10.75,0.019
